date,temp_max,temp_min,precipitation,rain,snowfall,wind_speed,wind_gusts,radiation,sunshine,weather_code
2020-01-01,12.9,10.9,0.7,0.7,0.0,20.6,33.5,2.63,0.0,51
2020-01-02,16.1,10.9,0.5,0.5,0.0,14.1,23.0,3.01,1163.14,51
2020-01-03,19.2,8.6,0.0,0.0,0.0,25.9,47.5,13.96,33361.77,3
2020-01-04,20.8,3.8,0.0,0.0,0.0,14.0,28.8,14.52,33777.18,0
2020-01-05,22.1,5.3,0.0,0.0,0.0,18.4,35.6,14.54,33825.12,0
2020-01-06,22.4,7.7,0.0,0.0,0.0,27.8,49.0,13.77,33835.5,3
2020-01-07,19.2,7.3,0.0,0.0,0.0,27.6,46.1,15.29,33951.43,3
2020-01-08,20.6,3.2,0.6,0.6,0.0,25.1,43.2,11.67,28657.57,51
2020-01-09,26.6,16.3,0.7,0.7,0.0,26.7,45.4,8.54,19772.8,51
2020-01-10,28.1,17.4,10.6,10.6,0.0,31.7,57.2,5.27,11297.3,63
2020-01-11,16.9,8.7,0.1,0.1,0.0,24.0,44.3,14.95,34116.77,51
2020-01-12,18.1,3.2,0.0,0.0,0.0,13.0,27.7,13.59,34166.9,3
2020-01-13,17.3,11.0,1.3,1.3,0.0,8.9,16.6,3.03,0.0,51
2020-01-14,25.5,15.5,1.1,1.1,0.0,13.7,23.4,6.16,10194.95,51
2020-01-15,25.5,20.0,1.1,1.1,0.0,19.9,34.9,5.84,3054.24,51
2020-01-16,23.2,17.0,14.5,14.5,0.0,23.7,38.9,5.0,5280.84,63
2020-01-17,21.5,17.5,8.9,8.9,0.0,20.3,34.2,4.14,0.0,61
2020-01-18,20.7,10.9,1.3,1.3,0.0,24.3,42.1,8.6,19495.77,53
2020-01-19,14.1,6.3,0.0,0.0,0.0,25.0,43.9,15.62,34568.58,0
2020-01-20,14.4,5.6,0.0,0.0,0.0,13.5,23.8,13.91,34585.89,2
2020-01-21,17.0,5.9,0.0,0.0,0.0,23.9,41.8,14.57,34177.88,3
2020-01-22,16.6,10.7,13.8,13.8,0.0,20.4,32.4,3.47,827.71,61
2020-01-23,21.2,10.6,0.0,0.0,0.0,20.8,37.1,15.86,34751.38,3
2020-01-24,19.1,5.8,0.0,0.0,0.0,10.5,19.8,15.84,34844.9,0
2020-01-25,19.3,8.0,1.0,1.0,0.0,17.7,31.7,6.28,7748.68,51
2020-01-26,23.5,12.9,0.0,0.0,0.0,11.0,22.0,15.63,34917.79,3
2020-01-27,22.5,8.6,0.0,0.0,0.0,18.0,30.2,15.93,35009.03,3
2020-01-28,22.0,11.9,7.2,7.2,0.0,32.9,55.4,14.6,35028.1,63
2020-01-29,17.0,7.1,0.0,0.0,0.0,21.1,38.2,17.0,35228.11,0
2020-01-30,12.3,6.2,0.0,0.0,0.0,19.1,33.5,8.75,18507.57,3
2020-01-31,17.1,5.8,0.1,0.1,0.0,17.3,29.9,12.61,33249.29,51
2020-02-01,20.2,4.8,0.0,0.0,0.0,18.2,32.4,17.4,35523.54,3
2020-02-02,22.3,6.3,0.0,0.0,0.0,17.4,32.4,16.62,33253.22,3
2020-02-03,19.5,12.0,3.5,3.5,0.0,16.0,36.7,6.04,8938.73,55
2020-02-04,26.5,11.7,0.2,0.2,0.0,26.3,47.2,13.71,28628.43,51
2020-02-05,13.0,2.4,3.3,1.4,1.33,26.3,53.6,10.79,24671.28,73
2020-02-06,14.4,0.2,0.0,0.0,0.0,30.6,53.6,15.93,34079.61,3
2020-02-07,21.8,2.9,0.0,0.0,0.0,16.2,31.7,17.87,36106.21,2
2020-02-08,19.5,8.9,0.2,0.2,0.0,20.9,34.6,6.04,2243.16,51
2020-02-09,23.8,16.4,6.4,6.4,0.0,21.2,37.4,5.94,15303.46,61
2020-02-10,21.5,10.6,17.8,17.8,0.0,23.5,38.5,5.02,0.0,63
2020-02-11,11.4,7.4,5.0,5.0,0.0,25.8,47.5,5.32,0.0,53
2020-02-12,19.4,7.8,12.0,12.0,0.0,16.8,42.1,13.17,26790.73,63
2020-02-13,15.2,5.8,0.0,0.0,0.0,18.1,33.8,18.95,36848.68,0
2020-02-14,14.1,1.9,0.0,0.0,0.0,16.4,27.4,19.09,37012.66,0
2020-02-15,18.8,5.1,0.0,0.0,0.0,15.8,30.2,11.54,16462.26,3
2020-02-16,23.3,11.8,0.0,0.0,0.0,13.7,27.4,12.03,21613.08,3
2020-02-17,26.5,15.1,0.5,0.5,0.0,17.3,31.3,9.61,16522.77,51
2020-02-18,24.2,11.4,2.6,2.6,0.0,29.6,51.1,5.72,2803.65,55
2020-02-19,12.9,9.8,7.9,7.9,0.0,23.9,38.5,4.23,0.0,61
2020-02-20,10.9,8.6,2.8,2.8,0.0,31.1,52.6,5.29,702.96,53
2020-02-21,12.9,2.8,0.0,0.0,0.0,20.9,33.8,19.3,37701.37,3
2020-02-22,16.9,4.7,0.0,0.0,0.0,18.7,31.3,17.51,31879.85,3
2020-02-23,21.8,13.0,0.1,0.1,0.0,24.0,41.0,7.46,7902.86,51
2020-02-24,22.8,15.9,1.1,1.1,0.0,16.8,31.3,12.83,25606.99,53
2020-02-25,19.6,8.8,0.0,0.0,0.0,26.4,47.2,20.29,37941.14,2
2020-02-26,12.6,4.3,0.0,0.0,0.0,34.5,57.2,21.3,38038.71,3
2020-02-27,15.1,0.1,0.0,0.0,0.0,11.8,27.7,21.69,38149.83,1
2020-02-28,21.5,3.2,0.0,0.0,0.0,13.0,27.7,20.67,38133.02,3
2020-02-29,22.9,7.4,0.0,0.0,0.0,25.3,45.0,20.21,38198.91,3
2020-03-01,27.0,14.3,0.0,0.0,0.0,24.1,41.4,14.35,21376.87,3
2020-03-02,26.4,14.6,0.5,0.5,0.0,12.1,25.9,9.13,7211.35,51
2020-03-03,26.9,18.5,1.2,1.2,0.0,25.1,45.4,8.44,4684.38,51
2020-03-04,22.8,12.8,7.6,7.6,0.0,27.5,47.2,17.71,36080.18,63
2020-03-05,23.0,10.0,0.0,0.0,0.0,27.3,46.8,21.92,38822.6,3
2020-03-06,21.2,11.3,0.0,0.0,0.0,22.2,41.8,22.12,38607.64,3
2020-03-07,20.2,10.9,0.3,0.3,0.0,20.4,38.9,16.4,29019.55,51
2020-03-08,23.0,12.5,0.0,0.0,0.0,26.9,47.5,10.48,14720.69,3
2020-03-09,21.9,16.4,5.7,5.7,0.0,20.6,33.5,5.5,60.88,55
2020-03-10,25.8,16.8,0.7,0.7,0.0,14.1,23.8,10.66,21201.95,51
2020-03-11,28.9,16.5,0.0,0.0,0.0,18.7,32.4,12.68,23138.44,3
2020-03-12,30.0,18.8,0.0,0.0,0.0,22.9,41.4,16.0,31679.55,3
2020-03-13,29.5,18.8,0.8,0.8,0.0,23.4,41.0,12.81,17916.4,51
2020-03-14,28.4,20.9,0.9,0.9,0.0,21.8,39.2,9.15,8370.02,51
2020-03-15,27.5,20.1,5.6,5.6,0.0,19.7,34.6,9.84,22261.65,53
2020-03-16,24.5,18.8,2.4,2.4,0.0,20.0,37.1,10.13,9113.14,53
2020-03-17,26.7,19.6,6.1,6.1,0.0,23.9,45.0,14.68,31294.7,61
2020-03-18,28.7,19.3,0.9,0.9,0.0,23.2,39.2,10.09,16535.43,51
2020-03-19,29.6,20.1,11.0,11.0,0.0,22.1,41.0,11.2,20817.97,63
2020-03-20,21.0,12.4,37.0,37.0,0.0,32.2,53.3,10.81,21154.27,63
2020-03-21,13.4,10.2,15.9,15.9,0.0,24.0,42.8,5.0,0.0,63
2020-03-22,21.0,13.2,2.6,2.6,0.0,12.4,21.6,7.09,3123.22,51
2020-03-23,27.8,17.4,0.8,0.8,0.0,20.2,35.6,12.45,16739.98,51
2020-03-24,31.0,17.5,0.0,0.0,0.0,16.1,27.0,20.83,37403.21,3
2020-03-25,30.7,17.4,0.0,0.0,0.0,14.8,26.3,22.89,38824.02,3
2020-03-26,30.7,18.0,0.2,0.2,0.0,19.2,40.7,16.71,25612.62,51
2020-03-27,31.8,18.2,0.0,0.0,0.0,23.5,42.8,14.98,28012.97,3
2020-03-28,28.0,15.3,2.7,2.7,0.0,27.9,46.1,20.03,29928.35,61
2020-03-29,25.6,12.9,1.2,1.2,0.0,23.1,42.1,18.95,39986.15,51
2020-03-30,27.8,17.7,1.6,1.6,0.0,19.3,34.6,10.11,16369.48,53
2020-03-31,25.5,14.2,0.0,0.0,0.0,16.1,32.0,25.01,41369.74,3
2020-04-01,25.7,11.9,0.0,0.0,0.0,22.7,37.1,24.96,41135.03,3
2020-04-02,22.5,16.4,7.9,7.9,0.0,20.4,32.8,4.97,18.43,61
2020-04-03,26.2,12.3,17.0,17.0,0.0,27.1,44.3,10.21,13600.87,63
2020-04-04,15.7,10.3,24.2,24.2,0.0,20.7,36.7,4.68,931.21,63
2020-04-05,22.5,10.9,0.0,0.0,0.0,16.3,28.8,14.05,17482.09,3
2020-04-06,25.0,16.5,0.3,0.3,0.0,11.7,24.8,10.18,7384.14,51
2020-04-07,28.3,19.0,0.4,0.4,0.0,12.0,24.1,15.19,31974.49,51
2020-04-08,30.9,21.3,0.0,0.0,0.0,17.0,28.1,20.51,32960.64,3
2020-04-09,30.4,19.1,15.5,15.5,0.0,25.9,43.2,14.31,23782.8,63
2020-04-10,24.1,18.0,0.0,0.0,0.0,24.6,43.2,14.79,28110.72,3
2020-04-11,27.6,17.5,4.1,4.1,0.0,25.0,42.5,12.46,25536.53,55
2020-04-12,28.4,17.3,12.7,12.7,0.0,40.1,68.0,26.53,42378.79,63
2020-04-13,20.3,7.8,0.0,0.0,0.0,30.7,50.4,26.72,43187.15,0
2020-04-14,19.1,9.0,0.0,0.0,0.0,24.1,41.8,20.66,43126.9,3
2020-04-15,19.3,7.9,0.0,0.0,0.0,18.8,31.0,26.31,43406.28,3
2020-04-16,25.3,9.8,0.0,0.0,0.0,21.3,38.2,22.91,39894.2,3
2020-04-17,24.4,14.3,3.7,3.7,0.0,21.9,41.0,7.56,5536.25,55
2020-04-18,21.9,13.0,2.3,2.3,0.0,17.9,32.4,8.45,1162.76,51
2020-04-19,32.5,16.9,2.0,2.0,0.0,23.1,39.6,21.18,30940.66,53
2020-04-20,30.6,14.5,0.0,0.0,0.0,18.1,30.6,26.35,44113.05,3
2020-04-21,29.9,17.3,0.0,0.0,0.0,21.4,37.4,14.09,18910.91,3
2020-04-22,31.1,21.6,6.8,6.8,0.0,22.4,38.2,14.93,21325.1,61
2020-04-23,30.6,19.2,0.0,0.0,0.0,21.7,37.1,27.31,44386.1,3
2020-04-24,35.0,16.9,0.0,0.0,0.0,30.7,50.4,26.74,44475.55,0
2020-04-25,25.2,19.0,3.4,3.4,0.0,28.1,49.7,23.89,44564.57,61
2020-04-26,29.0,13.7,0.0,0.0,0.0,17.4,29.5,27.55,44653.09,1
2020-04-27,31.9,17.1,0.0,0.0,0.0,26.8,46.4,23.49,32672.93,3
2020-04-28,34.5,21.5,11.2,11.2,0.0,21.1,38.2,19.12,32385.21,65
2020-04-29,29.0,19.9,23.6,23.6,0.0,29.1,51.8,23.08,32939.34,65
2020-04-30,30.0,13.6,0.0,0.0,0.0,14.3,24.8,28.03,45000.86,2
2020-05-01,32.7,15.9,0.0,0.0,0.0,20.0,38.2,27.42,45085.87,3
2020-05-02,35.2,19.0,0.0,0.0,0.0,24.7,40.7,25.33,44977.92,3
2020-05-03,35.0,19.8,0.0,0.0,0.0,22.3,36.0,23.57,38110.24,3
2020-05-04,36.2,21.4,0.0,0.0,0.0,23.2,38.2,25.55,39639.61,3
2020-05-05,31.1,22.8,1.3,1.3,0.0,25.7,46.8,16.67,32044.43,53
2020-05-06,29.9,17.1,18.5,18.5,0.0,23.8,43.2,23.8,45214.08,65
2020-05-07,31.0,17.6,0.0,0.0,0.0,26.2,44.6,14.82,31928.93,3
2020-05-08,31.1,19.9,0.4,0.4,0.0,31.8,56.5,20.73,41345.28,51
2020-05-09,24.9,17.1,0.4,0.4,0.0,21.2,37.4,16.09,20005.09,51
2020-05-10,28.0,14.7,0.0,0.0,0.0,15.5,33.5,27.76,45800.82,3
2020-05-11,28.6,16.8,0.5,0.5,0.0,23.7,40.7,16.45,33616.29,51
2020-05-12,26.7,19.6,32.8,32.8,0.0,25.2,42.8,12.32,22321.23,65
2020-05-13,30.8,20.1,0.8,0.8,0.0,21.4,39.2,20.95,45683.27,51
2020-05-14,32.0,20.4,0.1,0.1,0.0,18.8,34.6,19.99,39672.61,51
2020-05-15,33.2,22.5,5.7,5.7,0.0,31.4,61.2,18.55,34089.73,63
2020-05-16,29.9,18.9,35.6,35.6,0.0,22.6,50.4,23.77,42857.34,65
2020-05-17,31.5,18.1,0.0,0.0,0.0,9.3,20.9,26.66,43717.86,3
2020-05-18,33.9,19.4,0.0,0.0,0.0,15.6,31.3,27.88,46343.21,0
2020-05-19,36.3,20.6,0.0,0.0,0.0,19.2,32.4,27.84,46405.48,0
2020-05-20,37.0,22.3,0.0,0.0,0.0,23.0,37.8,26.11,40621.24,3
2020-05-21,33.6,23.8,1.0,1.0,0.0,23.8,42.8,21.18,44684.7,53
2020-05-22,34.0,24.4,0.6,0.6,0.0,22.7,43.2,22.66,41660.14,51
2020-05-23,31.3,20.4,28.3,28.3,0.0,29.7,60.8,14.49,32253.88,65
2020-05-24,29.0,21.5,51.8,51.8,0.0,22.1,50.0,16.05,28996.48,65
2020-05-25,30.0,19.8,40.1,40.1,0.0,16.0,32.4,18.53,31915.69,65
2020-05-26,29.1,18.6,2.0,2.0,0.0,16.1,32.8,22.85,46432.25,61
2020-05-27,33.5,18.7,0.2,0.2,0.0,26.4,50.0,26.28,43440.35,51
2020-05-28,33.0,20.6,0.2,0.2,0.0,17.3,33.1,22.9,39077.26,51
2020-05-29,32.2,21.4,0.1,0.1,0.0,23.9,42.5,23.82,42269.12,51
2020-05-30,31.3,20.3,0.2,0.2,0.0,18.3,35.3,27.08,46430.21,51
2020-05-31,29.4,21.9,4.6,4.6,0.0,19.5,36.0,15.01,28567.62,63
2020-06-01,27.1,21.3,11.1,11.1,0.0,18.8,34.6,16.88,30581.11,63
2020-06-02,29.4,21.5,8.2,8.2,0.0,16.4,34.9,20.58,45598.3,61
2020-06-03,31.1,21.0,0.4,0.4,0.0,14.3,34.2,23.18,46800.0,51
2020-06-04,33.7,22.2,0.0,0.0,0.0,16.3,33.5,23.58,45748.64,3
2020-06-05,33.5,22.8,0.1,0.1,0.0,13.6,29.5,24.75,46800.0,51
2020-06-06,34.8,22.9,0.0,0.0,0.0,13.0,29.9,26.47,46800.0,1
2020-06-07,34.2,24.6,0.6,0.6,0.0,10.6,24.8,22.23,46800.0,51
2020-06-08,37.8,24.7,0.0,0.0,0.0,20.9,35.6,25.18,46800.0,3
2020-06-09,37.1,25.0,0.0,0.0,0.0,18.0,29.9,24.8,45654.35,2
2020-06-10,35.1,23.1,0.1,0.1,0.0,25.2,44.6,29.03,46800.0,51
2020-06-11,35.0,20.9,0.0,0.0,0.0,17.8,35.3,29.76,46800.0,2
2020-06-12,33.8,20.4,0.0,0.0,0.0,19.4,36.7,29.62,46800.0,2
2020-06-13,33.5,21.4,0.0,0.0,0.0,18.3,37.1,29.4,46800.0,0
2020-06-14,31.9,20.4,0.0,0.0,0.0,17.5,35.3,23.84,44930.61,3
2020-06-15,31.9,22.2,1.0,1.0,0.0,23.2,43.9,22.54,41877.09,51
2020-06-16,31.1,22.5,4.4,4.4,0.0,20.5,38.2,20.16,39451.52,61
2020-06-17,33.7,21.2,0.3,0.3,0.0,20.7,33.8,23.89,42857.6,51
2020-06-18,31.6,23.6,4.2,4.2,0.0,21.1,41.8,19.56,42401.93,55
2020-06-19,31.7,23.2,2.8,2.8,0.0,23.4,42.8,21.62,46781.87,51
2020-06-20,31.0,22.5,2.5,2.5,0.0,21.9,39.2,20.35,41217.06,53
2020-06-21,35.2,23.6,0.3,0.3,0.0,21.6,41.4,22.54,39600.0,51
2020-06-22,32.8,24.1,1.3,1.3,0.0,29.4,49.0,20.67,38549.35,53
2020-06-23,33.5,22.5,9.2,9.2,0.0,18.2,39.2,16.25,26895.95,63
2020-06-24,36.0,22.0,0.0,0.0,0.0,24.9,45.0,26.23,46716.62,3
2020-06-25,34.0,23.6,1.5,1.5,0.0,19.3,34.6,23.07,46699.97,61
2020-06-26,30.1,24.0,11.3,11.3,0.0,25.3,55.1,16.46,31218.6,63
2020-06-27,33.3,24.3,3.2,3.2,0.0,26.5,48.2,20.68,32498.3,55
2020-06-28,31.0,23.8,13.5,13.5,0.0,22.9,42.1,11.26,19687.74,63
2020-06-29,32.5,25.4,0.6,0.6,0.0,25.0,45.4,13.69,9709.46,53
2020-06-30,35.2,25.4,0.1,0.1,0.0,22.8,41.8,22.02,38269.57,51
2020-07-01,35.5,25.5,3.3,3.3,0.0,21.6,36.0,19.47,34596.85,61
2020-07-02,37.5,25.2,0.0,0.0,0.0,19.5,34.6,27.18,43988.02,3
2020-07-03,37.0,24.6,0.0,0.0,0.0,14.9,27.7,26.72,46307.52,3
2020-07-04,38.2,23.5,0.0,0.0,0.0,18.1,28.8,28.53,46504.74,3
2020-07-05,38.7,24.9,0.0,0.0,0.0,17.2,29.5,27.37,46479.36,3
2020-07-06,37.8,26.0,0.1,0.1,0.0,20.2,33.1,24.49,45621.32,51
2020-07-07,36.7,26.5,0.6,0.6,0.0,22.8,37.4,22.2,44489.35,51
2020-07-08,38.2,26.3,0.3,0.3,0.0,25.2,42.1,24.69,46257.5,51
2020-07-09,38.3,26.1,0.0,0.0,0.0,23.9,40.3,22.79,43013.84,3
2020-07-10,40.0,26.1,0.1,0.1,0.0,24.2,40.7,26.28,45767.16,51
2020-07-11,39.5,25.4,0.0,0.0,0.0,21.5,35.3,28.11,46319.95,1
2020-07-12,39.8,25.5,0.0,0.0,0.0,20.1,31.7,27.79,43232.16,3
2020-07-13,41.6,26.2,0.0,0.0,0.0,23.8,43.9,28.9,46264.9,1
2020-07-14,41.2,24.9,0.0,0.0,0.0,27.1,46.4,28.19,46236.32,1
2020-07-15,39.6,25.1,0.0,0.0,0.0,23.9,40.0,27.36,46207.09,1
2020-07-16,37.6,25.4,0.0,0.0,0.0,22.6,39.2,23.26,45580.96,3
2020-07-17,37.6,25.8,0.3,0.3,0.0,23.7,42.1,23.76,45729.48,51
2020-07-18,35.4,24.6,0.5,0.5,0.0,18.7,36.0,23.97,46116.04,51
2020-07-19,36.0,24.5,0.5,0.5,0.0,23.4,37.8,24.87,46084.76,51
2020-07-20,36.1,25.9,0.2,0.2,0.0,25.6,46.8,24.88,45546.55,51
2020-07-21,35.0,25.5,0.3,0.3,0.0,21.0,39.6,21.98,46021.16,51
2020-07-22,35.5,25.0,1.8,1.8,0.0,19.6,33.5,20.57,39130.77,53
2020-07-23,36.6,26.0,0.6,0.6,0.0,20.4,33.5,22.54,43815.23,51
2020-07-24,38.5,27.6,0.7,0.7,0.0,25.4,52.2,23.48,45677.66,51
2020-07-25,31.5,26.2,8.0,8.0,0.0,33.0,67.0,15.64,34532.44,63
2020-07-26,32.5,24.4,11.4,11.4,0.0,30.8,52.9,18.39,41491.42,63
2020-07-27,34.3,24.5,12.2,12.2,0.0,21.8,37.8,22.77,40317.54,63
2020-07-28,34.2,24.1,1.4,1.4,0.0,23.6,47.5,22.13,45786.15,55
2020-07-29,33.0,24.0,1.5,1.5,0.0,21.6,44.6,18.89,28060.61,53
2020-07-30,35.2,24.8,1.9,1.9,0.0,22.3,41.8,23.3,45056.05,53
2020-07-31,34.5,25.4,0.5,0.5,0.0,14.5,25.9,18.59,43500.96,51
2020-08-01,32.2,24.2,8.8,8.8,0.0,14.8,31.0,20.02,40953.48,63
2020-08-02,34.2,23.4,0.1,0.1,0.0,16.0,26.6,23.84,45633.04,51
2020-08-03,35.8,24.2,0.8,0.8,0.0,16.4,29.5,24.59,42001.07,51
2020-08-04,35.1,24.7,0.0,0.0,0.0,14.7,31.7,22.74,45532.5,3
2020-08-05,37.3,23.3,0.0,0.0,0.0,18.2,35.6,27.49,45454.64,1
2020-08-06,36.9,24.8,0.0,0.0,0.0,19.5,36.7,25.14,44881.86,3
2020-08-07,35.8,25.5,0.7,0.7,0.0,21.1,38.5,22.99,44291.73,51
2020-08-08,36.0,25.5,0.4,0.4,0.0,20.6,35.6,24.03,45034.52,51
2020-08-09,37.5,25.8,0.1,0.1,0.0,25.5,42.8,25.03,44842.64,51
2020-08-10,37.1,25.8,0.2,0.2,0.0,24.3,43.6,23.2,43999.7,51
2020-08-11,38.0,25.6,0.2,0.2,0.0,23.6,45.7,24.72,44720.25,51
2020-08-12,39.0,26.0,0.0,0.0,0.0,22.5,36.7,26.27,44877.17,1
2020-08-13,39.1,25.6,0.0,0.0,0.0,22.1,38.5,26.97,44790.93,3
2020-08-14,39.8,25.5,0.0,0.0,0.0,23.1,38.5,26.91,44703.96,0
2020-08-15,39.6,26.3,0.0,0.0,0.0,23.6,38.9,25.0,44462.09,3
2020-08-16,39.0,26.5,0.0,0.0,0.0,18.3,32.0,25.57,44518.77,3
2020-08-17,35.5,25.0,0.2,0.2,0.0,20.1,40.3,23.6,39848.46,51
2020-08-18,36.5,26.0,0.5,0.5,0.0,19.1,39.2,19.54,40100.36,53
2020-08-19,38.0,25.1,0.0,0.0,0.0,16.7,32.4,23.9,44189.14,3
2020-08-20,36.7,24.2,0.0,0.0,0.0,16.4,27.0,21.38,37311.96,3
2020-08-21,37.5,25.4,0.0,0.0,0.0,20.4,33.1,24.25,43929.85,3
2020-08-22,32.5,23.8,5.2,5.2,0.0,18.8,32.8,18.05,34529.9,63
2020-08-23,34.5,24.0,0.4,0.4,0.0,17.8,33.5,21.39,43207.69,51
2020-08-24,34.8,25.0,0.0,0.0,0.0,18.4,36.7,22.27,43253.52,1
2020-08-25,35.8,25.1,0.0,0.0,0.0,13.2,28.8,23.34,43182.59,1
2020-08-26,34.2,26.4,0.3,0.3,0.0,20.6,37.8,17.59,37929.61,51
2020-08-27,34.6,25.9,0.0,0.0,0.0,17.6,28.1,20.3,42071.11,1
2020-08-28,39.0,27.0,0.0,0.0,0.0,23.7,42.8,24.34,42853.67,1
2020-08-29,37.5,26.4,0.0,0.0,0.0,24.8,41.0,24.2,42671.6,2
2020-08-30,37.8,26.4,0.0,0.0,0.0,25.1,43.2,23.36,42277.39,1
2020-08-31,37.0,26.8,1.7,1.7,0.0,23.7,41.4,19.41,41064.32,53
2020-09-01,37.9,26.4,1.9,1.9,0.0,20.4,38.9,18.66,38515.04,53
2020-09-02,33.2,26.4,12.3,12.3,0.0,20.5,33.8,15.21,30508.34,63
2020-09-03,35.7,24.8,4.5,4.5,0.0,22.2,36.4,21.87,37274.76,61
2020-09-04,30.0,23.0,45.7,45.7,0.0,16.2,28.8,16.02,25943.78,65
2020-09-05,29.5,23.1,5.9,5.9,0.0,21.4,38.2,13.77,28230.0,63
2020-09-06,30.4,23.0,0.4,0.4,0.0,11.8,22.3,18.05,39681.48,51
2020-09-07,32.1,23.4,0.2,0.2,0.0,14.1,32.4,22.14,39711.19,51
2020-09-08,32.7,24.9,1.0,1.0,0.0,20.2,43.2,15.95,27895.38,51
2020-09-09,30.5,17.6,49.6,49.6,0.0,23.8,47.2,12.45,23023.12,65
2020-09-10,20.4,15.9,23.0,23.0,0.0,22.4,40.3,5.71,0.0,63
2020-09-11,27.8,17.5,2.1,2.1,0.0,16.2,25.6,12.77,23207.78,61
2020-09-12,29.9,20.4,0.9,0.9,0.0,9.5,19.1,19.96,40210.28,51
2020-09-13,31.2,23.4,0.7,0.7,0.0,16.3,36.0,19.53,40036.77,51
2020-09-14,31.4,23.9,0.0,0.0,0.0,21.5,40.3,21.63,39818.55,3
2020-09-15,30.1,23.4,3.1,3.1,0.0,15.7,28.8,17.07,39651.25,61
2020-09-16,31.0,23.6,0.2,0.2,0.0,11.6,21.6,18.19,39377.34,51
2020-09-17,31.8,23.5,1.0,1.0,0.0,20.7,37.8,18.25,39739.22,51
2020-09-18,31.0,23.2,0.2,0.2,0.0,23.2,42.5,21.29,39680.5,51
2020-09-19,29.7,20.7,0.0,0.0,0.0,18.9,35.3,21.73,39901.61,2
2020-09-20,30.1,18.1,4.4,4.4,0.0,21.6,39.6,23.9,39894.19,61
2020-09-21,26.6,20.6,9.9,9.9,0.0,28.8,49.0,9.13,17524.02,63
2020-09-22,28.2,20.3,0.0,0.0,0.0,26.8,45.7,17.55,39600.0,3
2020-09-23,28.7,20.1,0.0,0.0,0.0,16.9,31.3,14.14,31484.71,3
2020-09-24,29.5,17.4,0.0,0.0,0.0,12.3,24.1,21.17,39677.38,3
2020-09-25,30.5,17.5,0.0,0.0,0.0,14.2,26.3,19.79,39613.44,3
2020-09-26,33.0,20.4,0.1,0.1,0.0,18.5,33.1,16.3,28800.0,51
2020-09-27,36.0,23.4,0.4,0.4,0.0,22.5,40.0,18.08,32400.0,51
2020-09-28,26.1,19.8,0.2,0.2,0.0,34.1,58.0,11.87,23576.89,51
2020-09-29,27.1,14.2,0.0,0.0,0.0,12.2,25.9,23.3,39639.71,0
2020-09-30,29.9,13.2,0.0,0.0,0.0,11.7,27.0,22.8,39566.26,0
2020-10-01,31.0,15.0,0.0,0.0,0.0,13.8,24.5,22.33,39440.31,0
2020-10-02,28.5,16.8,0.0,0.0,0.0,16.4,32.8,21.96,39318.83,0
2020-10-03,30.8,15.4,0.0,0.0,0.0,16.7,29.9,21.61,39248.47,0
2020-10-04,31.2,17.2,0.0,0.0,0.0,13.5,23.8,19.61,33943.15,3
2020-10-05,31.0,18.1,0.0,0.0,0.0,12.2,23.8,21.06,39071.58,0
2020-10-06,31.2,18.8,0.0,0.0,0.0,13.0,22.7,20.34,39000.02,2
2020-10-07,31.5,18.8,0.0,0.0,0.0,14.3,27.0,19.17,38928.69,2
2020-10-08,31.0,17.5,0.0,0.0,0.0,15.1,29.2,16.1,35257.67,3
2020-10-09,32.8,22.5,0.1,0.1,0.0,13.7,31.7,16.05,33257.12,51
2020-10-10,35.5,21.0,0.0,0.0,0.0,12.0,21.6,20.35,38716.93,0
2020-10-11,36.3,20.3,0.0,0.0,0.0,17.0,32.0,20.48,38647.4,0
2020-10-12,33.8,22.5,0.0,0.0,0.0,17.5,32.4,17.62,37254.26,3
2020-10-13,31.5,19.0,0.0,0.0,0.0,13.8,26.3,19.16,38510.51,3
2020-10-14,34.0,21.3,0.0,0.0,0.0,17.2,33.1,19.39,38443.34,3
2020-10-15,31.6,21.5,0.2,0.2,0.0,29.6,49.3,11.38,25424.21,51
2020-10-16,23.7,15.4,3.5,3.5,0.0,28.7,47.2,13.42,27875.74,53
2020-10-17,29.0,16.8,0.1,0.1,0.0,22.5,42.1,12.23,21144.99,51
2020-10-18,32.5,20.4,0.0,0.0,0.0,22.2,40.0,17.22,31488.63,3
2020-10-19,32.4,23.1,0.5,0.5,0.0,20.4,35.6,13.84,34183.24,51
2020-10-20,31.6,23.0,2.7,2.7,0.0,20.3,33.5,11.77,28947.46,53
2020-10-21,31.1,21.9,2.3,2.3,0.0,16.5,30.2,16.1,37421.19,53
2020-10-22,30.9,21.9,1.3,1.3,0.0,20.1,32.4,14.72,35744.73,51
2020-10-23,30.0,13.8,1.3,1.3,0.0,29.4,49.7,12.33,35088.29,51
2020-10-24,21.8,12.8,0.1,0.1,0.0,19.7,38.2,9.33,19323.48,51
2020-10-25,28.2,15.9,0.8,0.8,0.0,23.4,38.9,7.3,5197.29,51
2020-10-26,28.9,8.4,5.4,5.4,0.0,28.0,50.4,13.09,34718.23,53
2020-10-27,11.4,5.3,5.1,5.1,0.0,23.9,42.1,4.09,0.0,53
2020-10-28,19.0,5.6,3.1,3.1,0.0,20.0,37.4,16.45,35638.48,53
2020-10-29,18.7,8.2,0.0,0.0,0.0,29.4,51.8,18.17,36977.55,0
